序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
692,15DGB002H-W46,英语B-46班（怀）-高级写作,PhD English,公共必修课,,36/1.0,Lettice Wigby,外语系
693,15DGB002H-W47,英语B-47班（怀）-高级写作,PhD English,公共必修课,,36/1.0,Lettice Wigby,外语系
694,15DGB002H-W48,英语B-48班（怀）-高级写作,PhD English,公共必修课,,36/1.0,Lettice Wigby,外语系
695,15DGB002Y-L03,英语B-03班（玉）-高级听说,PhD English Program,公共必修课,,36/1.0,张红晖,外语系
696,15DGB002Y-L04,英语B-04班（玉）-高级听说,PhD English,公共必修课,,36/1.0,张红晖,外语系
697,15DGB002Y-L05,英语B-05班（玉）-高级听说,PhD English Program,公共必修课,,36/1.0,郭建,外语系
698,15DGB002Y-W01,英语B-01班（玉）-高级写作,PhD English,公共必修课,,36/1.0,郭建,外语系
699,15DGB002Y-W02,英语B-02班（玉）-高级写作,PhD English,公共必修课,,36/1.0,郭建,外语系
700,15DGB002Y-W06,英语B-06班（玉）-高级写作,PhD English,公共必修课,,36/1.0,张红晖,外语系
701,15DGB002Z-L115,英语B-115班（中）-高级听说,English　Ｂ,公共必修课,,36/1.0,洪雷,外语系
702,15DGB002Z-L116,英语B-116班（中）-高级听说,English B,公共必修课,,36/1.0,洪雷,外语系
703,15DGB002Z-L134,英语B-134班（中）-高级听说,PhD English Program,公共必修课,,36/1.0,莫嘉琳,中国人民大学
704,15DGB002Z-L151,英语B-151班（中）-高级听说,PhD English Program,公共必修课,,36/1.0,莫嘉琳,中国人民大学
705,15DGB002Z-L155,英语B-155班（中）-高级听说,PhD English Program,公共必修课,,36/1.0,莫嘉琳,中国人民大学
706,15DGB002Z-L156,英语B-156班（中）-高级听说,PhD English Program,公共必修课,,36/1.0,刘欣,首都经济贸易大学
707,15DGB002Z-L157,英语B-157班（中）-高级听说,PhD English Program,公共必修课,,36/1.0,刘欣,首都经济贸易大学
708,15DGB002Z-L158,英语B-158班（中）-高级听说,PhD English Program,公共必修课,,36/1.0,刘重霄,首都经济贸易大学
709,15DGB002Z-L159,英语B-159班（中）-高级听说,PhD English Program,公共必修课,,36/1.0,刘重霄,首都经济贸易大学
710,15DGB002Z-S105,英语B-105班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Philip John Docherty,其它
711,15DGB002Z-S112,英语B-112班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Philip John Docherty,其它
712,15DGB002Z-S117,英语B-117班（中）-高级口语,PhD English,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
713,15DGB002Z-S119,英语B-119班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Ann Marie Ross,中央民族大学
714,15DGB002Z-S120,英语B-120班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Ann Marie Ross,中央民族大学
715,15DGB002Z-S124,英语B-124班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,ROBERT THOMAS TUOHEY,其它
716,15DGB002Z-S125,英语B-125班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,ROBERT THOMAS TUOHEY,其它
717,15DGB002Z-S138,英语B-138班（中）-高级口语,PhD English,公共必修课,,36/1.0,Philip John Docherty,其它
718,15DGB002Z-S141,英语B-141班（中）-高级口语,PHD English,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
719,15DGB002Z-S142,英语B-142班（中）-高级口语,PhD English,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
720,15DGB002Z-S148,英语B-148班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,ROBERT THOMAS TUOHEY,其它
721,15DGB002Z-S160,英语B-160班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Ann Marie Ross,中央民族大学
722,15DGB002Z-S162,英语B-162班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
723,15DGB002Z-S163,英语B-163班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Ann Marie Ross,中央民族大学
